"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-11","3.13","1.21","0.0","0.0",,"62","45","  180","  160","10.1","17.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-12","7.16","0.00","0.0","0.0",,"62","32","  360","  300","15.0","21.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-13","5.59","0.00","0.0","0.0",,"38","26","  360","   10","15.0","21.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-14","5.37","0.08","0.0","0.0",,"53","35","  250","  240","14.1","19.9",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-15","5.14","0.16","0.0","0.0",,"62","46","  250","  250","13.0","21.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-16","6.93","0.09","0.0","0.0",,"58","36","  320","  300","19.9","36.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-17","4.47","0.52","4.4","0.0",,"40","28","  170","  310","15.0","21.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-18","5.82","0.01","0.0","3.1",,"44","33","  310","  320","14.1","27.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-19","4.25","0.04","0.0","0.0",,"49","36","  160","  190","12.1","18.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-20","6.04","0.00","0.0","0.0",,"67","47","  260","  260","15.0","21.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-21","5.82","0.06","0.0","0.0",,"78","55","  250","  240","15.0","25.9","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-22","8.28","0.17","0.0","0.0",,"59","37","   50","   10","16.1","23.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-23","6.26","0.06","0.0","0.0",,"42","36","  250","  260","14.1","21.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02-24","5.37","0.08","0.0","0.0",,"55","42","  260","  270","14.1","21.9","    1",,,,
